legacy_move_id,canonical_move_id,status
0,0,no-move
1,1,official-gen1
2,2,official-gen1
3,3,official-gen1
4,4,official-gen1
5,5,official-gen1
6,6,official-gen1
7,7,official-gen1
8,8,official-gen1
9,9,official-gen1
10,10,official-gen1
11,11,official-gen1
12,12,official-gen1
13,13,official-gen1
14,14,official-gen1
15,15,official-gen1
16,16,official-gen1
17,17,official-gen1
18,18,official-gen1
19,19,official-gen1
20,20,official-gen1
21,21,official-gen1
22,22,official-gen1
23,23,official-gen1
24,24,official-gen1
25,25,official-gen1
26,26,official-gen1
27,27,official-gen1
28,28,official-gen1
29,29,official-gen1
30,30,official-gen1
31,31,official-gen1
32,32,official-gen1
33,33,official-gen1
34,34,official-gen1
35,35,official-gen1
36,36,official-gen1
37,37,official-gen1
38,38,official-gen1
39,39,official-gen1
40,40,official-gen1
41,41,official-gen1
42,42,official-gen1
43,43,official-gen1
44,44,official-gen1
45,45,official-gen1
46,46,official-gen1
47,47,official-gen1
48,48,official-gen1
49,49,official-gen1
50,50,official-gen1
51,51,official-gen1
52,52,official-gen1
53,53,official-gen1
54,54,official-gen1
55,55,official-gen1
56,56,official-gen1
57,57,official-gen1
58,58,official-gen1
59,59,official-gen1
60,60,official-gen1
61,61,official-gen1
62,62,official-gen1
63,63,official-gen1
64,64,official-gen1
65,65,official-gen1
66,66,official-gen1
67,67,official-gen1
68,68,official-gen1
69,69,official-gen1
70,70,official-gen1
71,71,official-gen1
72,72,official-gen1
73,73,official-gen1
74,74,official-gen1
75,75,official-gen1
76,76,official-gen1
77,77,official-gen1
78,78,official-gen1
79,79,official-gen1
80,80,official-gen1
81,81,official-gen1
82,82,official-gen1
83,83,official-gen1
84,84,official-gen1
85,85,official-gen1
86,86,official-gen1
87,87,official-gen1
88,88,official-gen1
89,89,official-gen1
90,90,official-gen1
91,91,official-gen1
92,92,official-gen1
93,93,official-gen1
94,94,official-gen1
95,95,official-gen1
96,96,official-gen1
97,97,official-gen1
98,98,official-gen1
99,99,official-gen1
100,100,official-gen1
101,101,official-gen1
102,102,official-gen1
103,103,official-gen1
104,104,official-gen1
105,105,official-gen1
106,106,official-gen1
107,107,official-gen1
108,108,official-gen1
109,109,official-gen1
110,110,official-gen1
111,111,official-gen1
112,112,official-gen1
113,113,official-gen1
114,114,official-gen1
115,115,official-gen1
116,116,official-gen1
117,117,official-gen1
118,118,official-gen1
119,119,official-gen1
120,120,official-gen1
121,121,official-gen1
122,122,official-gen1
123,123,official-gen1
124,124,official-gen1
125,125,official-gen1
126,126,official-gen1
127,127,official-gen1
128,128,official-gen1
129,129,official-gen1
130,130,official-gen1
131,131,official-gen1
132,132,official-gen1
133,133,official-gen1
134,134,official-gen1
135,135,official-gen1
136,136,official-gen1
137,137,official-gen1
138,138,official-gen1
139,139,official-gen1
140,140,official-gen1
141,141,official-gen1
142,142,official-gen1
143,143,official-gen1
144,144,official-gen1
145,145,official-gen1
146,146,official-gen1
147,147,official-gen1
148,148,official-gen1
149,149,official-gen1
150,150,official-gen1
151,151,official-gen1
152,152,official-gen1
153,153,official-gen1
154,154,official-gen1
155,155,official-gen1
156,156,official-gen1
157,157,official-gen1
158,158,official-gen1
159,159,official-gen1
160,160,official-gen1
161,161,official-gen1
162,162,official-gen1
163,163,official-gen1
164,164,official-gen1
165,165,official-gen1
