legacy_species_id,canonical_species_id,status
1,112,official
2,115,official
3,32,official
4,35,official
5,21,official
6,100,official
7,34,official
8,80,official
9,2,official
10,103,official
11,108,official
12,102,official
13,88,official
14,94,official
15,29,official
16,31,official
17,104,official
18,111,official
19,131,official
20,59,official
21,151,official
22,130,official
23,90,official
24,72,official
25,92,official
26,123,official
27,120,official
28,9,official
29,127,official
30,114,official
31,0,missingno
32,0,missingno
33,58,official
34,95,official
35,22,official
36,16,official
37,79,official
38,64,official
39,75,official
40,113,official
41,67,official
42,122,official
43,106,official
44,107,official
45,24,official
46,47,official
47,54,official
48,96,official
49,76,official
50,0,missingno
51,126,official
52,0,missingno
53,125,official
54,82,official
55,109,official
56,0,missingno
57,56,official
58,86,official
59,50,official
60,128,official
61,0,missingno
62,0,missingno
63,0,missingno
64,83,official
65,48,official
66,149,official
67,0,missingno
68,0,missingno
69,0,missingno
70,84,official
71,60,official
72,124,official
73,146,official
74,144,official
75,145,official
76,132,official
77,52,official
78,98,official
79,0,missingno
80,0,missingno
81,0,missingno
82,37,official
83,38,official
84,25,official
85,26,official
86,0,missingno
87,0,missingno
88,147,official
89,148,official
90,140,official
91,141,official
92,116,official
93,117,official
94,0,missingno
95,0,missingno
96,27,official
97,28,official
98,138,official
99,139,official
100,39,official
101,40,official
102,133,official
103,136,official
104,135,official
105,134,official
106,66,official
107,41,official
108,23,official
109,46,official
110,61,official
111,62,official
112,13,official
113,14,official
114,15,official
115,0,missingno
116,85,official
117,57,official
118,51,official
119,49,official
120,87,official
121,0,missingno
122,0,missingno
123,10,official
124,11,official
125,12,official
126,68,official
127,0,missingno
128,55,official
129,97,official
130,42,official
131,150,official
132,143,official
133,129,official
134,0,missingno
135,0,missingno
136,89,official
137,0,missingno
138,99,official
139,91,official
140,0,missingno
141,101,official
142,36,official
143,110,official
144,53,official
145,105,official
146,0,missingno
147,93,official
148,63,official
149,65,official
150,17,official
151,18,official
152,121,official
153,1,official
154,3,official
155,73,official
156,0,missingno
157,118,official
158,119,official
159,0,missingno
160,0,missingno
161,0,missingno
162,0,missingno
163,77,official
164,78,official
165,19,official
166,20,official
167,33,official
168,30,official
169,74,official
170,137,official
171,142,official
172,0,missingno
173,81,official
174,0,missingno
175,0,missingno
176,4,official
177,7,official
178,5,official
179,8,official
180,6,official
181,0,missingno
182,0,missingno
183,0,missingno
184,0,missingno
185,43,official
186,44,official
187,45,official
188,69,official
189,70,official
190,71,official
